friends_count,repostNum,followers_count,weiboID
221,6,454269,4007604059389484
906,3,406295,4009918702616907
138,0,7627,4009470013266050
75,1193,66662,3989170689259680
1333,0,2344,3427548581272617
224,0,1506,3588326155654389
356,0,56789,3690608260832843
280,0,2992,3807181524845898
1357,1,305139,4010231757536479
309,2,333009,3890196326108878
1215,0,20983,3947826565809667
756,0,5714,3990557048841600
512,0,6365,3737324514910370
902,1,552844,4009431421869335
378,0,143870,4010159992752564
1558,0,468661,4007600569253546
547,70,2293,4009393178145970
960,0,468555,3551042668900120
1956,1677,47848836,4009757843076567
599,2,941565,4010225277535809
143,0,30081,3633275794639122
874,17,1005203,4010301143273405
607,0,1098,4009013336771946
1628,0,113230,4009809654969501
617,0,1213,3733088473960474
710,1,757511,4009772217526473
299,0,12557,3923515629459600
687,0,11667,3715178526769118
7,0,1840,3683632599943880
1727,0,2229,3950448022865767
276,0,1694,3585067874189028
570,99,11281068,4010292327315552
536,0,170617,4010315487953598
348,3,1470740,4010117022241704
501,12,1850179,4010277261336392
1954,617,47845417,3896047203730977
1208,0,4710,3789235335243458
991,0,10335,3822274509824634
531,0,2126,3578587275724265
31,0,3113,3700648447412669
1029,55,5830615,4009567145338082
848,0,13480,3754675596135928
42,0,4935,3969620878974027
3409,0,1507999,3788345761068890
796,2,1687604,4010300770101539
2002,2,30814,3832273717899178
1126,0,6250196,4009496844274409
1208,0,4710,4009779997232969
683,17,550368,4009585427412798
289,4,16623,3986572464295610
60,0,19064,3996730380308258
1284,21,40871,4004198951502517
1668,0,8137228,4010252607234594
125,0,3201,3997550170805694
288,1,171806,4009862012564822
607,3,8418,3585082822111311
1627,980,44901847,4010290905503737
570,33,11281067,4010272031006546
1615,95,1469830,4009026762736382
338,0,734397,4004519094012784
455,91,9109232,4009389003657616
293,5,178785,4010096575039482
808,2,6135,4009103434504892
1245,4,1290339,4009937246410989
332,5,9112,4009388345476635
351,0,5434,3949001042813374
1215,0,20983,3946058679110339
306,1,263201,4006523748851160
557,1,2180,3404019949332551
146,0,3926,4009390027724879
1365,0,2039889,4010125586638459
848,2,13480,3773228328057509
108,0,39012,3924972147973987
204,0,130258,4010322282722046
384,3,59586,3903360069964481
920,7,1655123,4010305275104719
1678,447,11602714,4009518583479351
